,number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_min_samples_split,params_gb_n_estimators,params_gb_subsample,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_colsample_bytree,params_xgb_gamma,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,state
0,0,0.8686898484852259,2026-01-24 23:20:51.980968,2026-01-24 23:20:52.334717,0 days 00:00:00.353749,,,,,,,XGB,,,,,,1.0,0.0,0.08,3.0,1.0,100.0,0.1,9.0,0.6,COMPLETE
1,1,0.8661446563887152,2026-01-24 23:20:52.336180,2026-01-24 23:20:52.601533,0 days 00:00:00.265353,,,,,,,XGB,,,,,,0.8,5.0,0.09,3.0,3.0,100.0,0.7000000000000001,8.0,0.6,COMPLETE
2,2,0.8576837348865028,2026-01-24 23:20:52.603471,2026-01-24 23:20:54.999458,0 days 00:00:02.395987,,,,,,,RF,10.0,log2,2.0,6.0,300.0,,,,,,,,,,COMPLETE
3,3,0.8694035284086169,2026-01-24 23:20:55.000335,2026-01-24 23:20:56.086252,0 days 00:00:01.085917,,,,,,,XGB,,,,,,0.6,1.0,0.04,6.0,2.0,400.0,0.0,4.0,0.9,COMPLETE
4,4,0.8735801504660122,2026-01-24 23:20:56.087865,2026-01-24 23:20:59.676325,0 days 00:00:03.588460,0.04,4.0,8.0,3.0,400.0,1.0,GB,,,,,,,,,,,,,,,COMPLETE
5,5,0.8807439874785346,2026-01-24 23:20:59.677961,2026-01-24 23:21:00.850733,0 days 00:00:01.172772,,,,,,,XGB,,,,,,0.6,0.0,0.08,4.0,3.0,500.0,0.6000000000000001,5.0,0.6,COMPLETE
6,6,0.835168164427798,2026-01-24 23:21:00.852550,2026-01-24 23:21:02.838564,0 days 00:00:01.986014,,,,,,,RF,10.0,log2,5.0,2.0,300.0,,,,,,,,,,COMPLETE
7,7,0.7995495908505272,2026-01-24 23:21:02.839506,2026-01-24 23:21:06.136299,0 days 00:00:03.296793,,,,,,,RF,17.0,log2,10.0,8.0,500.0,,,,,,,,,,COMPLETE
8,8,0.8758618428754827,2026-01-24 23:21:06.137198,2026-01-24 23:21:06.721541,0 days 00:00:00.584343,0.09,4.0,4.0,5.0,100.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
9,9,0.8765387760210898,2026-01-24 23:21:06.722541,2026-01-24 23:21:10.840038,0 days 00:00:04.117497,0.09999999999999999,5.0,10.0,6.0,500.0,0.8,GB,,,,,,,,,,,,,,,COMPLETE
10,10,0.8738421078072566,2026-01-24 23:21:10.841306,2026-01-24 23:21:12.450104,0 days 00:00:01.608798,,,,,,,XGB,,,,,,0.6,3.0,0.01,5.0,5.0,500.0,1.0,1.0,0.7,COMPLETE
11,11,0.870742134971195,2026-01-24 23:21:12.451603,2026-01-24 23:21:16.922353,0 days 00:00:04.470750,0.09999999999999999,5.0,10.0,10.0,500.0,0.9,GB,,,,,,,,,,,,,,,COMPLETE
12,12,0.8779195080354096,2026-01-24 23:21:16.923491,2026-01-24 23:21:18.578648,0 days 00:00:01.655157,0.060000000000000005,5.0,1.0,8.0,200.0,0.6,GB,,,,,,,,,,,,,,,COMPLETE
13,13,0.8741158037354662,2026-01-24 23:21:18.579924,2026-01-24 23:21:19.509658,0 days 00:00:00.929734,,,,,,,XGB,,,,,,0.8,2.0,0.060000000000000005,4.0,5.0,300.0,0.5,5.0,1.0,COMPLETE
14,14,0.8642778653537494,2026-01-24 23:21:19.511712,2026-01-24 23:21:20.912230,0 days 00:00:01.400518,0.02,3.0,1.0,10.0,200.0,0.6,GB,,,,,,,,,,,,,,,COMPLETE
15,15,0.8779702162589113,2026-01-24 23:21:20.913279,2026-01-24 23:21:23.204059,0 days 00:00:02.290780,0.060000000000000005,5.0,1.0,8.0,300.0,0.6,GB,,,,,,,,,,,,,,,COMPLETE
16,16,0.8722992819343147,2026-01-24 23:21:23.205014,2026-01-24 23:21:25.063276,0 days 00:00:01.858262,,,,,,,XGB,,,,,,0.7,0.0,0.09999999999999999,5.0,3.0,500.0,0.7000000000000001,2.0,0.8,COMPLETE
17,17,0.8775461726658136,2026-01-24 23:21:25.064922,2026-01-24 23:21:25.724913,0 days 00:00:00.659991,,,,,,,XGB,,,,,,1.0,4.0,0.060000000000000005,4.0,4.0,300.0,0.30000000000000004,7.0,0.7,COMPLETE
18,18,0.8842594484822384,2026-01-24 23:21:25.727029,2026-01-24 23:21:27.975942,0 days 00:00:02.248913,0.060000000000000005,4.0,4.0,8.0,300.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
19,19,0.8008815771581705,2026-01-24 23:21:27.977198,2026-01-24 23:21:28.764042,0 days 00:00:00.786844,,,,,,,RF,20.0,sqrt,10.0,10.0,100.0,,,,,,,,,,COMPLETE
20,20,0.8569057233096226,2026-01-24 23:21:28.765167,2026-01-24 23:21:30.543951,0 days 00:00:01.778784,0.01,3.0,5.0,2.0,300.0,0.8,GB,,,,,,,,,,,,,,,COMPLETE
21,21,0.8781688502590133,2026-01-24 23:21:30.544979,2026-01-24 23:21:32.385250,0 days 00:00:01.840271,0.060000000000000005,4.0,3.0,8.0,300.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
22,22,0.8837346259756312,2026-01-24 23:21:32.386306,2026-01-24 23:21:34.787655,0 days 00:00:02.401349,0.06999999999999999,4.0,3.0,8.0,400.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
23,23,0.8836979787311947,2026-01-24 23:21:34.788569,2026-01-24 23:21:37.095715,0 days 00:00:02.307146,0.08,4.0,7.0,7.0,400.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
24,24,0.8836979787311947,2026-01-24 23:21:37.096583,2026-01-24 23:21:39.385335,0 days 00:00:02.288752,0.08,4.0,7.0,7.0,400.0,0.7,GB,,,,,,,,,,,,,,,COMPLETE
